employee_id,first_name,last_name,date_of_birth,gender,ethnicity,job_title,department,hire_date,termination_date,salary,hourly_rate,overtime_rate,pay_frequency,tax_withholding,ssn,address,city,state,zip_code,phone_number,emergency_contact_name,emergency_contact_phone,marital_status,spouse_name,number_of_dependents,education_level,years_of_experience,performance_rating,benefits_eligible,union_member
1,Maribelle,Woodus,6/15/1992,Trans Female,White,Speech Pathologist,Legal,10/16/2020,6/20/2006,156123.67,13.98,44.09,Weekly,0.68,823-20-8480,3323 International Terrace,Cimitarra,,686058,601-652-4834,Maribelle Woodus,987-434-2474,Single,Maribelle Woodus,8,Master's Degree,23,2.15,false,false
2,Lindi,Shailer,11/23/1996,Cis,Asian,Marketing Assistant,Marketing,8/7/2010,4/23/2014,106506.09,85.96,11.55,Weekly,0.96,772-92-8191,8360 Manitowish Junction,Wu’an,,,689-226-3083,Lindi Shailer,347-162-0287,Divorced,Lindi Shailer,1,High School,2,3.51,true,false
3,Andrus,Voysey,3/16/1982,Genderqueer,Asian,Quality Engineer,Engineering,3/4/2010,8/24/2012,186133.96,29.1,94.18,Monthly,0.2,628-29-6369,0 Prentice Plaza,Coelho Neto,,65620-000,146-895-1422,Andrus Voysey,949-130-6903,Divorced,Andrus Voysey,8,High School,1,2.85,true,false
4,Aluin,Havercroft,12/6/1973,Gender Fluid,Asian,Associate Professor,Marketing,12/2/2010,1/9/2016,29885.57,27.28,63.1,Monthly,0.26,449-95-9032,112 Crest Line Trail,Shuangquan,,,102-996-3762,Aluin Havercroft,986-673-9856,Married,Aluin Havercroft,8,Doctorate,10,3.37,false,true
5,Clementia,Brushneen,6/15/2001,Transgender Man,Hispanic,Marketing Manager,Engineering,8/22/2012,10/30/2008,79376.6,86.41,76.95,Monthly,1.0,651-37-7172,04 Stone Corner Terrace,Annecy,B9,74041 CEDEX,615-629-3854,Clementia Brushneen,242-208-0398,Divorced,Clementia Brushneen,6,Bachelor's Degree,38,4.61,false,false
6,Emmeline,Redbourn,4/29/1971,Cisgender Female,Hispanic,Nurse Practicioner,Product Management,6/7/2009,3/3/2020,105968.41,47.67,61.22,Monthly,0.96,715-38-0734,494 Reinke Point,Fukui-shi,,919-0486,230-251-1674,Emmeline Redbourn,675-540-6594,Single,Emmeline Redbourn,9,Bachelor's Degree,46,2.84,false,true
7,Findlay,Soda,6/2/1952,Trans,White,Senior Editor,Engineering,10/26/2009,5/26/2011,108597.76,71.11,95.27,Weekly,0.59,754-61-1593,8558 Waxwing Avenue,Pansoy,,6801,791-374-8720,Findlay Soda,977-393-2365,Divorced,Findlay Soda,9,Doctorate,44,3.73,false,false
8,Eric,Otter,11/7/1982,Cisgender,Other,Information Systems Manager,Business Development,7/28/2014,1/14/2021,31471.99,66.92,98.12,Monthly,0.65,681-77-1801,49 Darwin Crossing,Wangji,,,294-808-2926,Eric Otter,876-751-1048,Divorced,Eric Otter,6,Bachelor's Degree,13,2.58,true,false
9,Edythe,Pruckner,9/20/1985,Cis Woman,Asian,VP Product Management,Human Resources,8/6/2011,11/5/2001,142498.65,22.24,20.92,Bi-weekly,0.49,307-97-9081,0 Pennsylvania Plaza,Siedlce,,33-321,572-781-8263,Edythe Pruckner,670-785-3313,Divorced,Edythe Pruckner,9,Master's Degree,43,4.73,false,false
10,Ivette,Lethbrig,2/4/1989,Transgender Man,Hispanic,Product Engineer,Accounting,3/7/2003,3/1/2018,160994.79,45.17,33.4,Monthly,0.88,588-99-1177,805 Northview Point,Yuandun,,,220-855-5225,Ivette Lethbrig,181-974-9145,Divorced,Ivette Lethbrig,2,Master's Degree,47,3.86,false,true
11,Theodosia,O'Cannovane,7/15/1990,Bigender,White,Product Engineer,Marketing,6/3/2012,3/10/2005,127660.71,15.54,45.7,Monthly,0.43,412-63-7984,91998 Esker Pass,Žiežmariai,,56017,249-149-6288,Theodosia O'Cannovane,698-469-7021,Widowed,Theodosia O'Cannovane,7,High School,42,1.63,false,true
12,Moss,Cuppitt,1/24/1978,Genderqueer,Other,Analog Circuit Design manager,Engineering,5/7/2015,12/2/2012,66725.55,48.07,78.61,Weekly,0.91,807-44-7698,1 Lindbergh Park,Votorantim,,18110-000,282-466-2799,Moss Cuppitt,368-778-4050,Widowed,Moss Cuppitt,2,High School,41,2.48,false,false
13,Elnora,Oene,3/30/1955,Cisgender,Other,Pharmacist,Product Management,4/24/2007,7/1/2019,68091.66,41.28,22.14,Weekly,0.56,622-45-6363,48081 High Crossing Park,Memphis,TN,38188,901-669-7518,Elnora Oene,273-745-9415,Married,Elnora Oene,3,Associate's Degree,35,3.25,true,true
14,Nikolaos,Children,2/5/1989,Trans Male,Black,Graphic Designer,Training,5/27/2013,3/7/2007,128278.61,63.66,78.97,Monthly,0.32,421-25-7406,4 Fulton Trail,Nggambel,,,694-920-4585,Nikolaos Children,615-937-9512,Divorced,Nikolaos Children,4,High School,6,1.34,true,true
15,Lawrence,Jurczyk,6/15/1986,Agender,White,Analog Circuit Design manager,Support,3/15/2004,7/19/2015,163052.92,65.06,92.66,Weekly,0.8,497-81-5034,08 Coolidge Plaza,Bačka Palanka,,,251-180-3466,Lawrence Jurczyk,121-819-5461,Married,Lawrence Jurczyk,10,High School,0,2.78,false,true
16,Abagael,Getcliff,10/22/1976,Neutrois,White,Occupational Therapist,Business Development,3/14/2007,2/11/2021,72271.65,72.02,65.68,Bi-weekly,0.75,679-37-7485,3 Briar Crest Road,Rogóźno,,86-318,159-347-6720,Abagael Getcliff,684-439-1337,Married,Abagael Getcliff,4,Associate's Degree,25,4.64,false,true
17,Frankie,Sammes,4/4/1983,Gender Fluid,Other,Technical Writer,Support,12/19/2009,7/6/2008,177868.08,97.25,18.3,Weekly,0.28,428-82-2658,220 Fordem Center,Momil,,232008,197-671-0930,Frankie Sammes,544-178-3928,Married,Frankie Sammes,2,Doctorate,50,2.96,false,false
18,Albina,Karolowski,6/12/1950,Genderqueer,Black,Paralegal,Marketing,9/16/2019,7/26/2006,55442.84,19.65,66.83,Weekly,0.83,136-60-8300,843 Warbler Road,Borek,,512 63,177-506-0119,Albina Karolowski,104-863-5007,Widowed,Albina Karolowski,4,Doctorate,35,4.35,true,false
19,Dody,Pitkeathley,1/25/1974,Neutrois,Asian,Staff Scientist,Legal,11/6/2014,7/13/2001,197232.4,62.33,17.53,Bi-weekly,0.68,529-97-1645,6691 Mesta Trail,Zoumachang,,,105-944-5398,Dody Pitkeathley,762-529-4976,Married,Dody Pitkeathley,10,Associate's Degree,9,4.54,true,false
20,Filmer,Chatterton,7/13/1976,Transgender Woman,Asian,Mechanical Systems Engineer,Sales,9/15/2005,4/9/2014,188022.8,63.66,57.21,Monthly,0.96,664-88-1947,80756 Coleman Lane,Kamojimachō-jōgejima,,779-3244,192-720-3588,Filmer Chatterton,149-202-7903,Divorced,Filmer Chatterton,4,Associate's Degree,16,2.64,true,false
21,Shaina,Stickells,8/5/1964,Two-Spirit,Asian,Database Administrator II,Training,7/29/2014,8/4/2004,36907.6,35.3,74.18,Bi-weekly,0.2,275-24-3550,781 Westerfield Parkway,Gojō,,648-0002,206-835-3148,Shaina Stickells,132-380-9918,Divorced,Shaina Stickells,1,Associate's Degree,43,4.5,true,false
22,Alameda,Cardero,12/30/1998,MTF,Other,Assistant Professor,Business Development,7/12/2020,2/22/2020,93136.66,29.89,33.49,Weekly,0.59,470-79-5673,123 Meadow Valley Terrace,Laba Goumen,,,172-566-3785,Alameda Cardero,880-517-8846,Single,Alameda Cardero,6,Associate's Degree,47,3.55,false,false
23,Susanetta,Burdas,5/18/1983,Cis Man,White,Operator,Accounting,8/24/2007,3/7/2003,188479.72,60.75,85.38,Weekly,0.59,684-03-5930,37502 Oakridge Center,Hinunangan,,6608,160-435-9962,Susanetta Burdas,683-604-7135,Married,Susanetta Burdas,0,Bachelor's Degree,8,1.26,true,true
24,Roxane,Iveson,4/5/1954,Male to Female,White,Librarian,Support,10/11/2018,8/14/2008,49059.88,79.29,24.21,Bi-weekly,0.05,708-74-3863,132 John Wall Drive,Hengbanqiao,,,342-772-3374,Roxane Iveson,255-696-4095,Single,Roxane Iveson,1,Master's Degree,21,2.26,true,false
25,Georgena,D'Onisi,11/14/1990,Pangender,Black,Biostatistician III,Services,6/22/2010,3/28/2019,116433.83,73.97,19.47,Monthly,0.44,875-12-5043,1080 Melby Alley,Yangcheng,,,815-483-6699,Georgena D'Onisi,474-636-2150,Married,Georgena D'Onisi,0,Master's Degree,12,4.03,false,true
26,Alfonse,Peacock,12/19/2001,Cisgender Female,Hispanic,Physical Therapy Assistant,Support,11/13/2002,6/15/2006,143931.97,16.05,52.68,Bi-weekly,0.36,347-97-5419,427 Bartillon Place,Huaidao,,,362-941-6125,Alfonse Peacock,541-842-6634,Widowed,Alfonse Peacock,0,Bachelor's Degree,3,2.41,false,false
27,Kippy,Tabbitt,9/26/1953,Transgender Person,Asian,Financial Analyst,Legal,3/15/2009,9/9/2003,74384.35,84.41,53.45,Bi-weekly,0.23,798-94-4692,45942 Londonderry Plaza,Aghsu,,,967-468-4740,Kippy Tabbitt,500-752-5966,Married,Kippy Tabbitt,2,Associate's Degree,19,1.24,false,false
28,Joyce,Patinkin,5/4/1950,Transsexual Female,Black,Project Manager,Training,11/18/2006,12/10/2020,79775.01,40.15,48.02,Weekly,0.35,265-57-7921,80 Sachtjen Trail,Aguilares,,4152,153-940-4854,Joyce Patinkin,496-271-0275,Divorced,Joyce Patinkin,0,High School,17,3.66,true,true
